time_s,car,truck,bus,police_car,AMBULANCE
0.0666666666666667,9,0,0,0,0
0.1,10,2,0,0,0
0.133333333333333,9,1,0,0,0
0.166666666666667,9,1,0,0,0
0.2,8,1,0,0,0
0.233333333333333,9,1,0,0,0
0.266666666666667,9,1,0,0,0
0.3,9,0,0,0,0
0.333333333333333,10,1,0,0,0
0.366666666666667,11,1,0,0,0
0.4,8,1,0,0,0
0.433333333333333,10,1,0,0,0
0.466666666666667,9,1,0,0,0
0.5,8,1,0,0,0
0.533333333333333,10,1,0,0,0
0.566666666666667,9,1,0,0,0
0.6,8,1,0,0,0
0.633333333333333,8,1,0,0,0
0.666666666666667,8,1,0,0,0
0.7,9,1,0,0,0
0.733333333333333,8,1,0,0,0
0.766666666666667,10,1,0,0,0
0.8,9,1,0,0,0
0.833333333333333,9,1,0,0,0
0.866666666666667,9,1,0,0,0
0.9,9,1,0,0,0
0.933333333333333,9,1,0,0,0
0.966666666666667,9,0,0,0,0
1,9,0,0,0,0
1.03333333333333,8,0,0,0,0
1.06666666666667,10,0,0,0,0
1.1,9,0,0,0,0
1.13333333333333,10,0,0,0,0
1.16666666666667,9,0,0,0,0
1.2,9,0,0,0,0
1.23333333333333,10,0,0,0,0
1.26666666666667,11,0,0,0,0
1.3,11,0,0,0,0
1.33333333333333,11,0,0,0,0
1.36666666666667,12,0,0,0,0
1.4,9,0,0,0,0
1.43333333333333,10,0,0,0,0
1.46666666666667,10,0,0,0,0
1.5,10,0,0,0,0
1.53333333333333,10,0,1,0,0
1.56666666666667,11,0,0,0,0
1.6,11,0,0,0,0
1.63333333333333,11,0,0,0,0
1.66666666666667,11,0,1,0,0
1.7,11,0,0,0,0
1.73333333333333,11,0,0,0,0
1.76666666666667,10,0,0,0,0
1.8,10,0,0,0,0
1.83333333333333,10,0,0,0,0
1.86666666666667,11,0,0,0,0
1.9,11,0,0,0,0
1.93333333333333,10,0,1,0,0
1.96666666666667,11,0,1,0,0
2,11,0,0,0,0
2.03333333333333,11,0,0,0,0
2.06666666666667,11,0,0,0,0
2.1,11,0,0,0,0
2.13333333333333,10,1,0,0,0
2.16666666666667,9,0,1,0,0
2.2,10,0,1,0,0
2.23333333333333,10,0,1,0,0
2.26666666666667,9,0,1,0,0
2.3,9,0,1,0,0
2.33333333333333,10,0,1,0,0
2.36666666666667,11,0,1,0,0
2.4,10,0,0,0,0
2.43333333333333,11,0,0,0,0
2.46666666666667,12,1,0,0,0
2.5,12,1,0,0,0
2.53333333333333,11,0,0,0,0
2.56666666666667,12,0,0,0,0
2.6,13,0,0,0,0
2.63333333333333,11,0,1,0,0
2.66666666666667,10,0,0,0,0
2.7,11,1,0,0,0
2.73333333333333,11,0,0,0,0
2.76666666666667,10,0,0,0,0
2.8,10,1,0,0,0
2.83333333333333,11,0,0,0,0
2.86666666666667,11,0,0,0,0
2.9,11,0,1,0,0
2.93333333333333,10,0,1,0,0
2.96666666666667,9,0,1,0,0
3,9,0,1,0,0
3.03333333333333,9,0,1,0,0
3.06666666666667,9,0,1,0,0
3.1,10,0,1,0,0
3.13333333333333,9,0,0,0,0
3.16666666666667,10,1,0,0,0
3.2,10,0,1,0,0
3.23333333333333,10,1,0,0,0
3.26666666666667,10,1,0,0,0
3.3,10,1,0,0,0
3.33333333333333,9,1,0,0,0
3.36666666666667,9,0,0,0,0
